Surt,capture_time,url,mime,status,digest,length,offset,filename,month,year
"com,yenisafak)/ekonomi/kara-yolu-isleri-yaptirilacak-3615848",20210330052233,https://www.yenisafak.com/ekonomi/kara-yolu-isleri-yaptirilacak-3615848,text/html,200,sha1:HSBPGM45BBTZM4LDVNCCX2KT4DYVFLD7,29574,472444628,CC-NEWS-20210330043403-00985.warc.gz,03,2021
"it,corriere,brescia)/notizie/cronaca/20_novembre_12/donna-scomparsa-brescia-scientifica-casa-dell-ex-convivente-2014a5ee-24f8-11eb-9615-de24e09c8a4a.shtml",20201112193025,https://brescia.corriere.it/notizie/cronaca/20_novembre_12/donna-scomparsa-brescia-scientifica-casa-dell-ex-convivente-2014a5ee-24f8-11eb-9615-de24e09c8a4a.shtml,text/html,200,sha1:F63SSIG6J37PNCS4C2KN6TCT27ZCQPAM,25011,866674844,CC-NEWS-20201112183628-00652.warc.gz,11,2020
"com,westport-news)/sports/article/golf-governing-bodies-start-to-reveal-plans-to-15919016.php",20210202212013,https://www.westport-news.com/sports/article/Golf-governing-bodies-start-to-reveal-plans-to-15919016.php,text/html,200,sha1:QVO7KCT3GLKWRW7SDWP4XPLFVLJDI32G,23846,285895456,CC-NEWS-20210202210418-00023.warc.gz,02,2021
"de,ce-trade)/2021/02/19/vestel-erweitert-kooperation-mit-hd",20210219200711,https://www.ce-trade.de/2021/02/19/vestel-erweitert-kooperation-mit-hd/,text/html,200,sha1:5D72IGMMVGPF47GMLDBLMTSXP5E2BLJI,21257,511075558,CC-NEWS-20210219193649-00327.warc.gz,02,2021
"fr,rfi)/vi/qu%e1%bb%91c-t%e1%ba%bf/20230628-nga-oanh-k%c3%adch-kramatorsk-%c3%adt-nh%e1%ba%a5t-9-ng%c6%b0%e1%bb%9di-ch%e1%ba%bft",20230628141318,https://www.rfi.fr/vi/qu%E1%BB%91c-t%E1%BA%BF/20230628-nga-oanh-k%C3%ADch-kramatorsk-%C3%ADt-nh%E1%BA%A5t-9-ng%C6%B0%E1%BB%9Di-ch%E1%BA%BFt,text/html,200,sha1:GX2FWJI4UXN44XWNTANQV657C6MVGQXW,64269,148891418,CC-NEWS-20230628140801-03626.warc.gz,06,2023
"fr,infoclimat)/photolive-photos-meteo-264557-brouillard.html?date_type=dh_prise&order=desc",20201124120159,https://www.infoclimat.fr/photolive-photos-meteo-264557-brouillard.html?order=DESC&date_type=dh_prise,text/html,200,sha1:QUTKZUWUPHZLA7F6HROOWL4BUAEHX5CQ,70816,759026920,CC-NEWS-20201124111735-00831.warc.gz,11,2020
"com,washingtonpost)/sports/2021/02/19/vincent-jackson-brain-cte-research",20210219133305,https://www.washingtonpost.com/sports/2021/02/19/vincent-jackson-brain-cte-research/,text/html,200,sha1:5BK3NP4GDRXAFN72ULPXA56N2G42GIE7,57524,782838006,CC-NEWS-20210219124957-00320.warc.gz,02,2021
"com,zvuk)/release/9064500",20240413144722,https://zvuk.com/release/9064500,text/html,200,sha1:FU2IYS5G3BM6UNVRN6AUXZJOTSIMDAB7,43925,201279564,CC-NEWS-20240413143147-03466.warc.gz,04,2024
"com,reuters,cn)/article/csx-results-idcnl4n0fm3pn20130716",20170406110400,http://cn.reuters.com/article/csx-results-idCNL4N0FM3PN20130716,text/html,200,sha1:UXATASOSCQG4QCXEBWV6ZD2GJIJBMEGJ,13959,945439585,CC-NEWS-20170406063616-00267.warc.gz,04,2017
"com,ferrari)/en-bq/auto/456m-gta",20211107112942,https://www.ferrari.com/en-BQ/auto/456m-gta,text/html,200,sha1:NFLMES4NF4R6UM3CGMC76UGOQW5LTSPP,34969,882021019,CC-NEWS-20211107100629-00223.warc.gz,11,2021
"fr,lemoniteur)/article/jura-l-ehpad-de-bracon-soigne-son-montage-immobilier.2116629",20201120010739,https://www.lemoniteur.fr/article/jura-l-ehpad-de-bracon-soigne-son-montage-immobilier.2116629,text/html,200,sha1:F5QJ57OZ6R32GRQA4GB6NVPWBJFSDLWR,20319,471037935,CC-NEWS-20201120002427-00767.warc.gz,11,2020
"com,mccourier)/orthopedic-surgical-robots-market-to-witness-an-outstanding-growth-during-2020-2027",20210319023238,https://www.mccourier.com/orthopedic-surgical-robots-market-to-witness-an-outstanding-growth-during-2020-2027/,text/html,200,sha1:2PTI7YCB63MRAJ4HDCZAH7WPVIILX4ZN,17496,397681098,CC-NEWS-20210319014659-00796.warc.gz,03,2021
"com,t3)/news/cool-shit-we-got-this-week-video",20191201022959,https://www.t3.com/news/cool-shit-we-got-this-week-video,text/html,200,sha1:UC2G34LUBEBMQF5BRBVY7JZ4SVXOVAC4,23746,537606674,CC-NEWS-20191201003247-02108.warc.gz,12,2019
"com,clarin)/sociedad/murio-filosofo-espanol-antonio-escohotado_0_mj_ksccv7.html",20211121123702,https://www.clarin.com/sociedad/murio-filosofo-espanol-antonio-escohotado_0_Mj_ksCcv7.html,text/html,200,sha1:EZ3M635CMKKXE4LA5ZHDM5S3MZYRPEUW,42926,6447673,CC-NEWS-20211121123612-00521.warc.gz,11,2021
"com,digisensus)/uncategorized/39850/aspergillosis-market-to-witness-huge-expansion-with-insights-on-new-key-players-cardinal-health-taj-pharma",20211108132649,https://digisensus.com/uncategorized/39850/aspergillosis-market-to-witness-huge-expansion-with-insights-on-new-key-players-cardinal-health-taj-pharma/,text/html,200,sha1:PFRH6L4OM6KFC56RG46XWZBBKBJB24UE,15079,601078178,CC-NEWS-20211108130142-00241.warc.gz,11,2021
"de,finanznachrichten)/nachrichten-2024-04/61918682-aberforth-split-level-income-trust-plc-director-pdmr-shareholding-008.htm",20240411095557,https://www.finanznachrichten.de/nachrichten-2024-04/61918682-aberforth-split-level-income-trust-plc-director-pdmr-shareholding-008.htm,text/html,200,sha1:TY23IFNQZWNZIPRGB6XHZIKPRVVJ2XYL,12001,150227239,CC-NEWS-20240411094708-03423.warc.gz,04,2024
